"EventTime","HostName","UserName","FileName","CreatorFileName","FileHash","VTScore","VTDetails"
"2018-11-01 10:32:01","P2PWORKFLOW01","DC1\ianj","C:\Windows\system32\mmc.exe","C:\Windows\explorer.exe","B6F46D1ADFE5123D094DD631C2508270","0/69","https://www.virustotal.com/file/ef302912f7716ca6ebd6f4905eea141d930785f2bd8c7ece40f1e0a06d607dd3/analysis/1539106794/"
"2018-11-01 10:25:56","P2PWORKFLOW01","DC1\production","C:\Program Files\Innosoft\WorkflowManager\WorkflowManager.exe","C:\Windows\System32\services.exe","25CB36587A309835E0197037915FC072","NotFound","N/A"
"2018-11-01 10:25:51","P2PWORKFLOW03","NT AUTHORITY\SYSTEM","C:\Windows\System32\winlogon.exe","N/A","F961E097BA86A94D6700DC36157850D9","1/67","https://www.virustotal.com/file/c00c613213f6dad53c57fca6caea451ffa9fd126c9cf52f24cefa83b10a105f1/analysis/1541930425/"
"2018-11-01 10:23:44","P2PWORKFLOW01","NT AUTHORITY\SYSTEM","C:\Program Files\DesktopCentral_Agent\bin\dcusb32.exe","C:\Program Files\DesktopCentral_Agent\bin\dcusbsummary.exe","AE7A07675CB4CC7E6F8B6F0600A3AF73","0/67","https://www.virustotal.com/file/494cb2c011263eccc98b8fd454c7885560f2cec1afe8fc958e1cba84cdb0fd14/analysis/1541579617/"
"2018-11-01 10:23:20","P2PWORKFLOW01","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\taskeng.exe","C:\Windows\System32\svchost.exe","8EABA697F14DEA722E3CCF7124301DEA","0/68","https://www.virustotal.com/file/8b0066d6bd9103844ac013d743290100cc588b1ea93c916420d55a8b5619d99f/analysis/1539864351/"
"2018-11-01 10:21:21","P2PWORKFLOW01","NT AUTHORITY\SYSTEM","C:\Windows\System32\winlogon.exe","N/A","533EF7E3720359A5D854F67DED00AA41","1/67","https://www.virustotal.com/file/4c856d3ea4aec40fd56e24af59b3f1b590e0e95bfb61fcb2a8591885f946bcdd/analysis/1540638243/"
"2018-11-01 10:18:23","FAXROUTER01B","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcusb64.exe","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcusbsummary.exe","EA285A1309AECF8CE27EBEF5037FF032","0/68","https://www.virustotal.com/file/4c5ba6081030bf8250fdf3868ed3247ad954f95c7003636eeaf9809dfdbc7cb0/analysis/1541255753/"
"2018-11-01 10:18:22","FAXROUTER01B","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\\bin\dcswmeter.exe","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcagentservice.exe","6C8982A8E0CD33BB9BC60A876CF85F80","0/66","https://www.virustotal.com/file/a4227783418ec6a4f7de497e94558d18937af40219001a538be3c5fb21a05921/analysis/1541848463/"
"2018-11-01 10:18:22","FAXROUTER01B","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcusbsummary.exe","N/A","3C7212C0C1B256347BCC468CDC9B3CD7","0/67","https://www.virustotal.com/file/9610cc6b410fa921ff21610394cf3f1ee644db93abca5eb71814c2f21077a97a/analysis/1541848462/"
"2018-11-01 10:18:21","FAXROUTER01B","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcuninstallsw.exe","N/A","56BF24444F2F5848853296A2FEB81379","0/67","https://www.virustotal.com/file/b2bd3cb8deaee558ff80b36aceb223bbce6f4d86ea72dd6030787ed6debb2c04/analysis/1541848462/"
"2018-11-01 10:15:44","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.Kd58820a5#\6e0991a5fd39ac5c3b8e4ecf902d2db8\Microsoft.KeyDistributionService.Cmdlets.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","EE80843E586464808A208117A1DFC57D","0/67","https://www.virustotal.com/file/7496604cfce893562cac2a37a12ee9c4f3886690b016d2c6b5fbb6090cd6501f/analysis/1537291449/"
"2018-11-01 10:15:44","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\SysWOW64\wshom.ocx","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","8637DC5F9A91CA68C7A3057415E7A91D","0/68","https://www.virustotal.com/file/04683b1224d859964aa10101e29fe3cec697c1a6f699e29675778c057dd1c960/analysis/1537960677/"
"2018-11-01 10:15:44","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.P521220ea#\b22ccd63535c4242ad037acbdf9b18fa\Microsoft.PowerShell.Commands.Utility.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","7260A3E40C3F4FD89B78F8610A1A3F5B","0/68","https://www.virustotal.com/file/4efd5b29f1884b46d5d5957ff4fb0dab6804a8e4f305222dff62c18298c39b1c/analysis/1538216760/"
"2018-11-01 10:15:42","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.P6f792626#\cfd5caccd0d0d6a0c45bd1e249034865\Microsoft.PowerShell.Security.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","22E906F9E48E42234E552CE9067F48DD","0/67","https://www.virustotal.com/file/872309cae32d8bc627674011cc1ddb299654436ded98926196a110cdd9fe38d8/analysis/1537292074/"
"2018-11-01 10:15:42","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.Mf5ac9168#\206ac9b6cb7e270342e05ef6c8bcc0a6\Microsoft.Management.Infrastructure.CimCmdlets.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","60032720B473A270A7E0D0F8D6AB41DB","0/67","https://www.virustotal.com/file/6c279e8701a8ceb601af154de481087364dfaf34712c26f8b2fe8e868a169a94/analysis/1537292053/"
"2018-11-01 10:15:42","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\SysWOW64\WinMetadata\Windows.Management.winmd","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","134B6FB2ED0E287187B4719289AB8FE9","0/65","https://www.virustotal.com/file/38782f782a26586949bced9cbc92950e96c9fc7d052a33faa83cfe1f9baed593/analysis/1522265881/"
"2018-11-01 10:15:42","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.Pb378ec07#\70d922060ba8d9e438c73af295988d56\Microsoft.PowerShell.ConsoleHost.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","610DAEA2AA7AEFB8A27542DFAB852421","0/67","https://www.virustotal.com/file/df03bd314656933dc4ced66aa57d8b7c9a9f3bd9c331f2d0085c29f9ca90e480/analysis/1537258085/"
"2018-11-01 10:15:42","ETLM01","NT AUTHORITY\SYSTEM","C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.Pae3498d9#\e51b4304f7941b19feebc40a77e6535e\Microsoft.PowerShell.Commands.Management.ni.dll","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","CEED2ECD59753472B5AF96F1B831B565","0/67","https://www.virustotal.com/file/8803504ffc6af8fa652b44f3b817eafdde99662a8a2c9599e57950dc735f941e/analysis/1537291687/"
"2018-11-01 10:13:04","WEBPORTAL03","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcagentupgrader.exe","C:\Windows\System32\taskeng.exe","1E07988FE99843D53F75EEFAE7804D92","0/67","https://www.virustotal.com/file/147f07ec34ac540dda767f060c7cb1728f317bb1ae7592b245dc80b83d2bb4b8/analysis/1541471529/"
"2018-11-01 10:11:26","SQLCUSTOMERS01","NT AUTHORITY\NETWORK SERVICE","C:\Windows\SysWOW64\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","1DD684E647BF9DD3E486276F5FA07A11","0/66","https://www.virustotal.com/file/d17557a926c07e11fd21cc737c36e5a0e8742f3f7deb6b0c95c397605a38ed86/analysis/1540703916/"
"2018-11-01 10:10:11","SQL01","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe","DCC48F1BDC0E239776BA05A7239991F7","0/66","https://www.virustotal.com/file/25dfb8168246e5d04dd6f124c95e4c4c4e8273503569acd5452205558d099871/analysis/1541843408/"
"2018-11-01 10:10:06","FAXROUTER02B","DC1\production","C:\Program Files (x86)\Tesseract-OCR\tesseract.exe","C:\Program Files\Innosoft\IFaxProcessing\IFaxProcessing.exe","1FAE7FEEF7C347DE7572E9E795F8BDDC","0/66","https://www.virustotal.com/file/661f2340842a6585363f1c21d19bd6f59625013b70cd0f5cab51cd986e94a690/analysis/1536050016/"
"2018-11-01 10:09:57","SMTP02","NT AUTHORITY\SYSTEM","C:\Windows\system32\conhost.exe","C:\Windows\System32\csrss.exe","90722B79DA62963FE91AE9CA078870D5","0/67","https://www.virustotal.com/file/2e1f7a299f01b60430bc02d0d38860bce855a718049eb5d27e3b4e6de6d736a0/analysis/1541586337/"
"2018-11-01 10:09:40","INTWEB02","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\DesktopCentral_Agent\dcconfig.exe","C:\Program Files (x86)\DesktopCentral_Agent\bin\dcagentservice.exe","4553FA2AC8C16A22F473C9227947A931","NotFound","N/A"
